,Player Name,Age,Team,At Bats,Home Runs,Home Runs per At Bat,Slugging Percentage,Batting Average,Isolated Power
104,Bryce Harper,30,PHI,457,21,0.045951859956236324,0.499,0.293,0.20600000000000002
146,Eloy Jiménez,26,CHW,456,18,0.039473684210526314,0.441,0.272,0.16899999999999998
114,Jonathan India,26,CIN,454,17,0.037444933920704845,0.407,0.244,0.16299999999999998
139,Josh Naylor,26,CLE,452,17,0.03761061946902655,0.489,0.308,0.181
136,Esteury Ruiz,24,OAK,449,5,0.011135857461024499,0.345,0.254,0.09099999999999997
145,Shea Langeliers,25,OAK,448,22,0.049107142857142856,0.413,0.205,0.208
110,Jack Suwinski,24,PIT,447,26,0.058165548098434,0.454,0.224,0.23
147,Luis García Jr.,23,WSN,447,9,0.020134228187919462,0.385,0.266,0.119
143,Wander Franco,22,TBR,442,17,0.038461538461538464,0.475,0.281,0.19399999999999995
144,Max Kepler,30,MIN,438,24,0.0547945205479452,0.484,0.26,0.22399999999999998
131,Mark Canha,34,2TM,435,11,0.02528735632183908,0.4,0.262,0.138
153,Randal Grichuk,31,2TM,434,16,0.03686635944700461,0.459,0.267,0.192
149,J.D. Martinez,35,LAD,432,33,0.0763888888888889,0.572,0.271,0.30099999999999993
163,Will Brennan,25,CLE,432,5,0.011574074074074073,0.356,0.266,0.08999999999999997
123,LaMonte Wade Jr.,29,SFG,429,17,0.039627039627039624,0.417,0.256,0.16099999999999998
133,Triston Casas,23,BOS,429,24,0.055944055944055944,0.49,0.263,0.22699999999999998
158,Michael Massey,25,KCR,428,15,0.035046728971962614,0.381,0.229,0.152
138,Willson Contreras,31,STL,428,20,0.04672897196261682,0.467,0.264,0.203
132,Lars Nootbaar,25,STL,426,14,0.03286384976525822,0.418,0.261,0.15699999999999997
148,Tommy Pham,35,2TM,426,16,0.03755868544600939,0.446,0.256,0.19
155,Ryan Mountcastle,26,BAL,423,18,0.0425531914893617,0.452,0.27,0.182
162,Garrett Cooper,32,2TM,422,17,0.04028436018957346,0.419,0.251,0.16799999999999998
156,Jordan Walker,21,STL,420,16,0.0380952380952381,0.445,0.276,0.16899999999999998
159,Kerry Carpenter,25,DET,418,20,0.04784688995215311,0.471,0.278,0.19299999999999995
151,Connor Joe,30,PIT,413,11,0.026634382566585957,0.421,0.247,0.174
164,Adam Frazier,31,BAL,412,13,0.03155339805825243,0.396,0.24,0.15600000000000003
137,Yordan Alvarez,26,HOU,410,31,0.07560975609756097,0.583,0.293,0.29
141,Geraldo Perdomo,23,ARI,407,6,0.014742014742014743,0.359,0.246,0.11299999999999999
171,Ezequiel Durán,24,TEX,406,14,0.034482758620689655,0.443,0.276,0.16699999999999998
157,Nolan Gorman,23,STL,406,27,0.0665024630541872,0.478,0.236,0.242
140,Ryan Noda,27,OAK,406,16,0.03940886699507389,0.406,0.229,0.17700000000000002
154,Michael Conforto,30,SFG,406,15,0.03694581280788178,0.384,0.239,0.14500000000000002
166,Wilmer Flores,31,SFG,405,23,0.056790123456790124,0.509,0.284,0.22500000000000003
165,Cedric Mullins,28,BAL,404,15,0.03712871287128713,0.416,0.233,0.18299999999999997
168,Brice Turang,23,MIL,404,6,0.01485148514851485,0.3,0.218,0.08199999999999999
152,Brandon Marsh,25,PHI,404,12,0.0297029702970297,0.458,0.277,0.181
161,Chas McCormick,28,HOU,403,22,0.05459057071960298,0.489,0.273,0.21599999999999997
174,Harold Ramírez,28,TBR,400,12,0.03,0.46,0.313,0.14700000000000002
175,Brenton Doyle,25,COL,399,10,0.02506265664160401,0.343,0.203,0.14
167,Donovan Solano,35,MIN,394,5,0.012690355329949238,0.391,0.282,0.10900000000000004
169,Luis Rengifo,26,LAA,394,16,0.04060913705583756,0.444,0.264,0.18
185,David Peralta,35,LAD,394,7,0.017766497461928935,0.381,0.259,0.122
150,Andrew McCutchen,36,PIT,390,12,0.03076923076923077,0.397,0.256,0.14100000000000001
178,Elly De La Cruz,21,CIN,388,13,0.03350515463917526,0.41,0.235,0.175
180,Jon Berti,33,MIA,388,7,0.01804123711340206,0.405,0.294,0.11100000000000004
177,Christopher Morel,24,CHC,388,26,0.06701030927835051,0.508,0.247,0.261
183,Miguel Rojas,34,LAD,385,5,0.012987012987012988,0.322,0.236,0.08600000000000002
